cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat,poison
f,s,w,t,n,f,w,b,w,t,b,s,s,w,g,p,w,o,p,k,s,d,e
f,y,n,t,n,f,w,b,k,t,e,s,s,w,p,p,w,o,p,k,n,g,e
f,y,e,t,l,f,w,b,w,t,c,s,s,w,w,p,w,o,p,n,v,g,e
f,f,y,f,n,f,c,n,g,e,b,k,k,p,w,p,w,o,l,h,a,p,p
f,y,g,f,f,f,c,b,h,e,b,k,k,n,p,p,w,o,l,h,v,p,p
x,f,e,t,a,f,w,b,n,t,b,f,s,n,w,p,w,o,e,n,a,g,e
x,y,g,t,f,f,c,b,n,e,e,s,k,b,b,p,w,o,p,n,y,p,p
f,y,y,t,l,f,w,b,n,t,b,k,s,p,w,p,w,o,p,h,y,m,e
x,y,y,f,f,f,c,b,h,e,b,k,s,n,w,p,w,o,l,h,y,u,p
f,y,n,t,n,f,c,b,n,t,b,s,s,w,w,p,w,o,e,k,y,g,e
x,f,y,f,n,f,c,b,p,e,b,k,k,p,p,p,w,o,l,h,y,p,p
x,y,n,t,n,f,w,b,n,t,c,s,s,p,w,p,w,o,p,h,s,d,e
f,f,y,f,f,f,c,b,g,e,b,k,k,p,p,p,w,o,l,h,y,g,p
x,f,g,t,n,f,w,b,n,t,b,s,k,p,w,p,w,o,p,h,s,d,e
x,y,y,f,f,f,c,b,u,t,b,s,s,w,w,p,w,o,l,h,v,p,e
f,f,y,f,f,f,c,b,h,e,b,s,s,w,p,p,w,o,p,h,a,d,p
x,s,w,t,n,f,w,b,k,t,b,f,s,w,w,p,w,o,p,h,v,p,e
f,f,g,f,f,f,c,b,p,e,e,k,k,p,p,p,w,o,p,h,v,d,p
f,s,n,t,n,f,c,b,n,t,c,s,s,w,w,p,w,o,p,k,s,d,e
x,y,g,f,f,f,c,b,g,e,b,k,k,n,b,p,w,o,l,h,y,p,p
x,s,n,t,n,f,w,b,u,t,e,s,s,w,w,p,w,o,p,k,s,d,e
f,y,n,t,f,f,c,b,h,t,b,k,f,n,p,p,w,o,e,k,y,p,e
f,y,n,t,l,f,c,b,p,t,b,s,s,g,w,p,w,o,p,n,v,g,e
f,f,n,t,l,f,c,b,w,t,e,s,s,w,w,p,w,o,e,k,v,m,e
f,s,e,t,n,f,c,n,u,t,b,f,s,w,w,p,w,o,p,k,v,g,e
x,f,g,t,a,f,c,b,g,t,b,s,k,w,n,p,w,o,p,n,v,p,p
